level,chars,pinyin,new_words
一级,的,de,[]
一级,是,shì,[]
一级,在,zài,[]
一级,了,le,[]
一级,我,wǒ,[]
一级,和,hé,[]
一级,有,yǒu,"['有的', '有的是']"
一级,不,bù,['是不是']
一级,人,rén,['有人']
一级,你,nǐ,[]
一级,也,yě,[]
一级,他,tā,['他人']
一级,这,zhè,[]
一级,中,zhōng,[]
一级,年,nián,['中年']
一级,对,duì,['不对']
一级,就,jiù,['就是']
一级,都,dōu,[]
一级,说,shuō,"['也就是说', '这就是说', '就是说']"
一级,上,shàng,['说不上']
一级,吗,ma,[]
一级,到,dào,[]
一级,会,huì,['都会']
一级,要,yào,"['要不', '要是', '不要', '要不是', '就要']"
一级,来,lái,"['来到', '来年', '到来', '上来']"
一级,月,yuè,[]
一级,还,huán,"['还有', '还是']"
一级,还,hái,"['还有', '还是']"
一级,个,gè,"['上个月', '个人']"
一级,后,hòu,"['后年', '后人', '后来']"
一级,等,děng,"['等到', '中等']"
一级,日,rì,['日后']
一级,能,néng,"['能不能', '不能不', '能人']"
一级,一,yī,['一一']
一级,很,hěn,[]
一级,从,cóng,"['从而', '从中', '从不', '从来', '从来不']"
一级,好,hào,"['好好', '好人', '也好', '好说', '好在', '要好']"
一级,好,hǎo,"['好好', '好人', '也好', '好说', '好在', '要好']"
一级,大,dà,"['大会', '大大', '大于', '不大', '大人', '大都']"
一级,她,tā,[]
一级,着,zhe,['有着']
一级,多,duō,"['多年来', '好多', '多年', '大多']"
一级,给,gěi,[]
一级,时,shí,"['一时', '不时', '时时', '时而', '时不时']"
一级,看,kàn,"['看来', '看好', '好看', '看到', '看中']"
一级,去,qù,"['看上去', '去年', '上去']"
一级,下,xià,"['以下', '下去', '下来', '下个月', '上下']"
一级,过,guò,"['不过', '过年', '过后', '过不去', '过于', '过时', '过去', '过来']"
一级,里,lǐ,['这里']
一级,新,xīn,"['新年', '新人']"
一级,地,dì,"['地下', '就地', '大地', '地上']"
一级,地,de,"['地下', '就地', '大地', '地上']"
一级,做,zuò,['做到']
一级,用,yòng,"['用于', '不用', '用不着', '用来', '有用', '用人', '没用', '不用说']"
一级,没,méi,"['没有', '没用', '从没', '有没有', '没说的']"
一级,得,dé,"['得了', '来得及', '得到', '用得着', '不得了', '不由得', '得以', '不得不']"
一级,想,xiǎng,"['着想', '想到', '没想到', '想不到']"
