level,chars,pinyin,new_words
五级,更,gēng,"['更新', '更是']"
五级,间,jiàn,"['其间', '时间', '中间', '人间', '之间']"
五级,军,jūn,"['将军', '军事', '军人']"
五级,杀,shā,['自杀']
五级,版,bǎn,"['出版', '正版']"
五级,搞,gǎo,['搞好']
五级,强,qiǎng,"['强制', '加强', '强占', '强行', '要强', '强大', '强加']"
五级,难,nàn,"['为难', '难得', '难过', '难点', '难以', '难得一见', '不难', '难处', '难听', '难看', '难受', '难道', '很难说', '难说']"
五级,届,jiè,['届时']
五级,令,lìng,"['指令', '下令']"
五级,德,dé,"['道德', '美德']"
五级,尔,ěr,[]
五级,差,chā,"['差错', '相差', '差不多', '出差', '差别', '反差']"
五级,差,chāi,"['差错', '相差', '差不多', '出差', '差别', '反差']"
五级,待,dāi,"['有待', '等待', '对待', '看待', '接待', '期待']"
五级,枪,qiāng,"['开枪', '手枪']"
五级,骗,piàn,"['受骗', '骗子', '骗人']"
五级,秒,miǎo,[]
五级,抢,qiǎng,['抢救']
五级,骂,mà,[]
五级,厅,tīng,['大厅']
五级,鬼,guǐ,['搞鬼']
五级,猜,cāi,['猜想']
五级,丢,diū,"['丢脸', '丢掉', '丢人']"
五级,款,kuǎn,"['新款', '取款', '取款机', '条款', '款式', '还款', '款项', '大款']"
五级,吨,dūn,[]
五级,棒,bàng,['棒球']
五级,托,tuō,[]
五级,射,shè,"['投射', '发射', '注射']"
五级,陪,péi,['陪同']
五级,吓,xià,['吓人']
五级,载,zǎi,"['载体', '转载', '记载', '下载']"
五级,凭,píng,"['凭着', '文凭']"
五级,库,kù,"['水库', '数据库', '宝库']"
五级,拜,bài,"['拜托', '拜见', '拜会', '拜年']"
五级,逃,táo,"['逃跑', '逃生', '逃走']"
五级,硬,yìng,"['强硬', '硬件', '过硬', '生硬']"
五级,疯,fēng,['疯子']
五级,恨,hèn,['恨不得']
五级,撞,zhuàng,"['冲撞', '碰撞']"
五级,滚,gǔn,['滚动']
五级,偷,tōu,"['偷偷', '偷看', '小偷儿']"
五级,傻,shǎ,[]
五级,呆,dāi,[]
五级,插,chā,"['插手', '插嘴', '插图']"
五级,落,là,"['落实', '落地', '落户', '落下', '没落', '脱落', '回落', '降落', '落差', '坐落', '段落', '下落', '着落', '冷落', '落后']"
五级,核,hé,"['核能', '核对', '核心', '核实', '考核', '核电站']"
五级,瞧,qiáo,['瞧不起']
五级,签,qiān,"['签名', '抽签', '签约', '签证', '签字']"
五级,弹,tán,"['反弹', '动弹', '子弹', '弹性']"
五级,弹,dàn,"['反弹', '动弹', '子弹', '弹性']"
五级,摄,shè,"['摄像机', '拍摄', '摄像']"
五级,洞,dòng,[]
五级,搜,sōu,"['搜救', '搜集', '搜查']"
五级,册,cè,"['画册', '手册', '注册']"
五级,咬,yǎo,[]
五级,躲,duǒ,['躲藏']
