level,chars,pinyin,new_words
一级,中,zhōng,[]
四级,中,zhòng,[]
二级,为,wéi,"['人为', '为人', '为了']"
二级,为,wèi,"['人为', '为人', '为了']"
二级,乐,yuè,"['乐意', '乐队', '吃喝玩乐', '快乐', '可乐']"
二级,乐,lè,"['乐意', '乐队', '吃喝玩乐', '快乐', '可乐']"
一级,了,le,[]
三级,了,liǎo,[]
五级,仔,zǎi,['仔细']
五级,仔,zǐ,['仔细']
一级,会,huì,['都会']
四级,会,kuài,['都会']
三级,传,chuán,"['传达', '传出', '传真', '传人', '相传', '传来', '传说']"
高等,传,zhuàn,"['传达', '传出', '传真', '传人', '相传', '传来', '传说']"
高等,伺,cì,"['伺机', '伺候']"
高等,伺,sì,"['伺机', '伺候']"
三级,似,sì,"['似是而非', '类似', '似的', '好似', '相似', '看似', '似曾相识']"
四级,似,shì,"['似是而非', '类似', '似的', '好似', '相似', '看似', '似曾相识']"
六级,佛,fú,['佛教']
六级,佛,fó,['佛教']
四级,供,gōng,"['供不应求', '供应', '供给', '提供', '供求']"
高等,供,gòng,"['供不应求', '供应', '供给', '提供', '供求']"
二级,便,biàn,"['便于', '不便', '便是', '即便', '以便', '便道']"
二级,便,pián,"['便于', '不便', '便是', '即便', '以便', '便道']"
二级,倒,dào,"['反倒', '打倒', '倒车', '倒卖', '倒是', '倒下']"
二级,倒,dǎo,"['反倒', '打倒', '倒车', '倒卖', '倒是', '倒下']"
高等,倔,juè,['倔强']
高等,倔,jué,['倔强']
一级,假,jià,"['真假', '放假', '假期', '假设', '假如', '假使', '假定', '长假', '请假', '假日']"
二级,假,jiǎ,"['真假', '放假', '假期', '假设', '假如', '假使', '假定', '长假', '请假', '假日']"
一级,兴,xìng,"['兴起', '兴致', '高兴', '新兴', '兴建', '复兴']"
四级,兴,xīng,"['兴起', '兴致', '高兴', '新兴', '兴建', '复兴']"
四级,冲,chōng,['冲动']
六级,冲,chòng,['冲动']
一级,几,jǐ,[]
四级,几,jī,[]
一级,分,fēn,"['万分', '成分', '区分', '分开', '分成', '分为', '过分', '比分', '得分']"
四级,分,fèn,"['万分', '成分', '区分', '分开', '分成', '分为', '过分', '比分', '得分']"
三级,切,qiè,"['一切', '深切', '切除', '亲切', '切身', '切实', '切断', '确切', '贴切']"
四级,切,qiē,"['一切', '深切', '切除', '亲切', '切身', '切实', '切断', '确切', '贴切']"
二级,划,huà,"['划分', '计划', '划时代', '划算', '划船']"
三级,划,huá,"['划分', '计划', '划时代', '划算', '划船']"
三级,创,chuàng,"['创业', '首创', '创新', '创建', '创作', '重创', '创办', '创立', '开创', '创意', '创造', '原创', '创伤']"
高等,创,chuāng,"['创业', '首创', '创新', '创建', '创作', '重创', '创办', '创立', '开创', '创意', '创造', '原创', '创伤']"
一级,别,bié,"['别人', '分别', '别的', '别说', '个别', '区别', '别看']"
高等,别,biè,"['别人', '分别', '别的', '别说', '个别', '区别', '别看']"
高等,刹,shā,"['一刹那', '刹车']"
高等,刹,chà,"['一刹那', '刹车']"
高等,削,xiāo,"['削弱', '剥削']"
高等,削,xuē,"['削弱', '剥削']"
高等,剥,bō,['剥夺']
高等,剥,bāo,['剥夺']
高等,勒,lè,[]
高等,勒,lēi,[]
高等,卜,bo,['占卜']
高等,卜,bǔ,['占卜']
二级,卡,kǎ,"['卡车', '卡子', '信用卡']"
高等,卡,qiǎ,"['卡车', '卡子', '信用卡']"
四级,卷,juǎn,"['卷子', '问卷', '卷入']"
四级,卷,juàn,"['卷子', '问卷', '卷入']"
二级,发,fà,"['开发区', '发出', '出发', '开发', '打发', '发起', '发起人', '发达', '自发', '出发点']"
二级,发,fā,"['开发区', '发出', '出发', '开发', '打发', '发起', '发起人', '发达', '自发', '出发点']"
二级,只,zhǐ,"['只不过', '只有', '只好', '只得', '只是', '只要', '只能']"
三级,只,zhī,"['只不过', '只有', '只好', '只得', '只是', '只要', '只能']"
五级,吐,tǔ,[]
五级,吐,tù,[]
五级,吓,xià,['吓人']
高等,吓,hè,['吓人']
一级,吧,ba,[]
四级,吧,bā,[]
高等,呛,qiāng,['够呛']
高等,呛,qiàng,['够呛']
一级,和,hé,[]
三级,和,huó,[]
高等,和,hè,[]
高等,咧,liē,"['大大咧咧', '咧嘴']"
高等,咧,liě,"['大大咧咧', '咧嘴']"
高等,咽,yān,['呜咽']
高等,咽,yàn,['呜咽']
高等,咽,yè,['呜咽']
高等,哄,hòng,['哄堂大笑']
